term,definition,link
Kubernetes,"An open-source system that runs and manages containers for you across a whole group of machines -- deciding where each one runs, restarting it if it crashes, and scaling it up or down as load changes.",https://kubernetes.io/docs/concepts/overview/
Docker,"The tool that packages an app and everything it needs into a single container and runs that one container on one machine -- Kubernetes then takes many of these and orchestrates them across a cluster.",https://en.wikipedia.org/wiki/Docker_(software)
Orchestration,"The ongoing work of deciding where each container should run, restarting it if it dies, and scaling it up or down as demand changes -- this is the job Kubernetes automates across a whole cluster, on top of Docker's job of just running one container on one machine.",
Cluster,"The whole group of machines Kubernetes manages together as one unit -- split into a control plane that makes decisions and nodes that actually run your workloads.",
Control plane,"The 'brain' half of a cluster: the set of components that decide what should run and where, as opposed to the nodes, which are the machines that actually run it.",https://kubernetes.io/docs/concepts/overview/components/
Node,"One of the worker machines in a cluster that actually runs your containers, as directed by the control plane.",https://kubernetes.io/docs/concepts/architecture/nodes/
etcd,"The single database that stores every fact about a cluster's current state -- only the API server talks to it directly, so it's the cluster's one source of truth.",https://etcd.io/
API server,"The one door every request to a cluster passes through, whether it's you running kubectl or a component inside Kubernetes itself -- nothing talks to etcd directly except this.",https://kubernetes.io/docs/concepts/overview/components/#kube-apiserver
Scheduler,"The control-plane component that picks which node a new pod should run on, based on that pod's resource needs and any placement constraints -- you don't choose the machine yourself.",https://kubernetes.io/docs/concepts/scheduling-eviction/kube-scheduler/
Kubelet,"The agent that runs on every node and actually talks to the container runtime to start, stop, and keep monitoring that node's containers.",https://kubernetes.io/docs/reference/command-line-tools-reference/kubelet/
Container runtime,"The low-level software on a node that actually creates and runs containers -- pulling images, then starting and stopping the processes inside them -- which the kubelet calls out to rather than doing itself (e.g. containerd or CRI-O).",https://kubernetes.io/docs/setup/production-environment/container-runtimes/
kubectl,"The command-line tool you use to talk to a cluster's API server -- both to ask questions about it (like listing pods) and to tell it what state you want.",https://kubernetes.io/docs/reference/kubectl/
Pod,"The smallest deployable unit in Kubernetes: one or more containers that always run together on the same node, sharing the same network address and storage.",https://kubernetes.io/docs/concepts/workloads/pods/
Sidecar container,"A helper container that shares a pod with the main application container, using that same network and storage -- commonly used for things like logging or proxying traffic.",https://kubernetes.io/docs/concepts/workloads/pods/sidecar-containers/
Pod phase,"The stage a pod is currently in during its lifetime: Pending while it waits to be scheduled onto a node, Running once its containers have started, and finally Succeeded or Failed once it's done running.",https://kubernetes.io/docs/concepts/workloads/pods/pod-lifecycle/
ReplicaSet,"A controller that keeps a fixed number of identical pods running at all times, automatically starting a replacement if one crashes or disappears.",https://kubernetes.io/docs/concepts/workloads/controllers/replicaset/
